📺央视频道,#genre#
CCTV-1,http://69.30.245.50/live/cctv1.m3u8
CCTV-2,http://101.35.240.114:88/live.php?id=CCTV2
CCTV-3,http://74.91.26.218:82/live/cctv3hd.m3u8
CCTV-4,http://198.204.240.250:82/live/cctv4k.m3u8
CCTV-5,http://74.91.26.218:82/live/cctv5hd.m3u8
CCTV-5+,http://101.35.240.114:88/live.php?id=CCTV5p
CCTV-6,http://198.204.240.250:82/live/cctv6.m3u8
CCTV-7,http://101.35.240.114:88/live.php?id=CCTV7
CCTV-8,http://74.91.26.218:82/live/cctv8hd.m3u8
CCTV-9,http://101.35.240.114:88/live.php?id=CCTV9
CCTV-10,http://74.91.26.218:82/live/cctv10hd.m3u8
CCTV-11,http://74.91.26.218:82/live/cctv11hd.m3u8
CCTV-12,http://74.91.26.218:82/live/cctv12hd.m3u8
CCTV-13,http://go.bkpcp.top/mg/cctv13
CCTV-14,http://74.91.26.218:82/live/cctv14hd.m3u8
CCTV-15,https://xykt-fix.github.io/play/a02e/index.m3u8
CCTV-16,http://74.91.26.218:82/live/cctv16hd.m3u8
CCTV-17,http://74.91.26.218:82/live/cctv17hd.m3u8

📡卫视频道,#genre#
广东卫视,http://101.35.240.114:88/live.php?id=广东卫视
浙江卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225703/index.m3u8
湖南卫视,http://101.35.240.114:88/live.php?id=湖南卫视
北京卫视,http://101.35.240.114:88/live.php?id=北京卫视
湖北卫视,http://118.81.195.79:9003/hls/32/index.m3u8
黑龙江卫视,http://101.35.240.114:88/live.php?id=黑龙江卫视
安徽卫视,http://101.35.240.114:88/live.php?id=安徽卫视
重庆卫视,http://118.81.195.79:9003/hls/22/index.m3u8
东方卫视,http://101.35.240.114:88/live.php?id=东方卫视
东南卫视,http://101.35.240.114:88/live.php?id=东南卫视
甘肃卫视,http://101.35.240.114:88/live.php?id=甘肃卫视
广西卫视,rtmp://live.gxrb.com.cn/hls/a23
贵州卫视,http://101.35.240.114:88/live.php?id=贵州卫视
海南卫视,http://101.35.240.114:88/live.php?id=海南卫视
河北卫视,http://101.35.240.114:88/live.php?id=河北卫视
河南卫视,http://101.35.240.114:88/live.php?id=河南卫视
吉林卫视,http://101.35.240.114:88/live.php?id=吉林卫视
江苏卫视,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226200/index.m3u8
江西卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225705/index.m3u8
辽宁卫视,http://39.134.39.37/PLTV/88888888/224/3221226209/index.m3u8
内蒙古卫视,http://101.35.240.114:88/live.php?id=内蒙古卫视
宁夏卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225726/index.m3u8
青海卫视,http://live.geermurmt.com/qhws/sd/live.m3u8
山东卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225697/index.m3u8
山西卫视,http://101.35.240.114:88/live.php?id=山西卫视
陕西卫视,http://101.35.240.114:88/live.php?id=陕西卫视
四川卫视,http://101.35.240.114:88/live.php?id=四川卫视
深圳卫视,http://101.35.240.114:88/live.php?id=深圳卫视
天津卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225698/index.m3u8
西藏卫视,http://101.35.240.114:88/live.php?id=西藏卫视
新疆卫视,http://101.35.240.114:88/live.php?id=新疆卫视
云南卫视,https://hwapi.yunshicloud.com/8xughf/e0bx15.m3u8
