iptv-org-gb  # 连续失败7次, 触发熔断 2026-06-04T21:53:48.911081100
iptv-org-ger  # 连续失败7次, 触发熔断 2026-06-04T21:53:55.353146300
iptv-org-regional  # 连续失败7次, 触发熔断 2026-06-04T21:53:56.683719900
fanmingming-ipv6  # 连续失败7次, 触发熔断 2026-06-04T21:54:04.889335800
fanmingming-iptv  # 连续失败7次, 触发熔断 2026-06-04T21:54:05.097212900
fanmingming-cctv  # 连续失败7次, 触发熔断 2026-06-04T21:54:05.097212900
fanmingming-main  # 连续失败7次, 触发熔断 2026-06-04T21:54:09.343554600
fanmingming-gitv  # 连续失败7次, 触发熔断 2026-06-04T21:54:11.759320
cctv-free  # 连续失败7次, 触发熔断 2026-06-04T21:54:13.541356100
tv-free  # 连续失败7次, 触发熔断 2026-06-04T21:54:16.774370700
fanmingming-itv  # 连续失败7次, 触发熔断 2026-06-04T21:54:19.314348100
hktv  # 连续失败7次, 触发熔断 2026-06-04T21:54:19.569113600
living-shenzhen  # 连续失败7次, 触发熔断 2026-06-04T21:54:20.391504800
global-iptv  # 连续失败7次, 触发熔断 2026-06-04T21:54:23.997611100
bestful  # 连续失败7次, 触发熔断 2026-06-04T21:54:26.581891400
lauGuoHui  # 连续失败7次, 触发熔断 2026-06-04T21:54:26.778637800
iptv-bs  # 连续失败7次, 触发熔断 2026-06-04T21:54:28.877869700
iptv-abc  # 连续失败7次, 触发熔断 2026-06-04T21:54:33.236300300
all-iptv  # 连续失败7次, 触发熔断 2026-06-04T21:54:35.881390700
fluxus-iptv  # 连续失败7次, 触发熔断 2026-06-04T21:55:05.154476
iptv-org-gb  # 连续失败8次, 触发熔断 2026-06-04T21:59:01.754965800
fluxus-iptv  # 连续失败8次, 触发熔断 2026-06-04T22:03:16.056270200
iptv-org-gb  # 连续失败9次, 触发熔断 2026-06-04T22:18:03.523851
fluxus-iptv  # 连续失败9次, 触发熔断 2026-06-04T22:19:11.867755700
iptv-org-gb  # 连续失败10次, 触发熔断 2026-06-04T22:24:16.389610200
fluxus-iptv  # 连续失败10次, 触发熔断 2026-06-04T22:28:48.169565300
iptv-org-index  # 连续失败5次, 触发熔断 2026-06-04T23:09:40.595972
iptv-org-ger  # 连续失败5次, 触发熔断 2026-06-05T03:01:45.646813
iptv-org-regional  # 连续失败5次, 触发熔断 2026-06-05T03:01:58.500670900
fanmingming-itv  # 连续失败5次, 触发熔断 2026-06-05T03:02:02.953516400
fanmingming-cctv  # 连续失败5次, 触发熔断 2026-06-05T03:02:02.953516400
fanmingming-iptv  # 连续失败5次, 触发熔断 2026-06-05T03:02:05.727875100
fanmingming-main  # 连续失败5次, 触发熔断 2026-06-05T03:02:07.175003400
fanmingming-gitv  # 连续失败5次, 触发熔断 2026-06-05T03:02:10.799302100
fanmingming-ipv6  # 连续失败5次, 触发熔断 2026-06-05T03:02:12.278400600
tv-free  # 连续失败5次, 触发熔断 2026-06-05T03:02:12.734859800
cctv-free  # 连续失败5次, 触发熔断 2026-06-05T03:02:12.736378200
hktv  # 连续失败5次, 触发熔断 2026-06-05T03:02:15.531925700
living-shenzhen  # 连续失败5次, 触发熔断 2026-06-05T03:02:17.491827500
global-iptv  # 连续失败5次, 触发熔断 2026-06-05T03:02:19.208021500
lauGuoHui  # 连续失败5次, 触发熔断 2026-06-05T03:02:20.070509900
bestful  # 连续失败5次, 触发熔断 2026-06-05T03:02:20.112615
iptv-bs  # 连续失败5次, 触发熔断 2026-06-05T03:02:23.104672200
iptv-abc  # 连续失败5次, 触发熔断 2026-06-05T03:02:23.582116200
all-iptv  # 连续失败5次, 触发熔断 2026-06-05T03:02:26.154938100
